;regex;value;filename
0;(p = .\d+);p = .30;21B.pdf
1;(p = .\d+);p = .45;21B.pdf
2;(p = .\d+);p = .07;21B.pdf
3;(p = .\d+);p = .04;21B.pdf
4;(p = .\d+);p = .37;21B.pdf
5;(p = .\d+);p = .68;16B.pdf
6;(p = \d+.\d+);p = 0.71;11B.pdf
7;(p = \d+.\d+);p = 0.13;11B.pdf
8;(p = \d+.\d+);p = 0.75;11B.pdf
9;(p = \d+.\d+);p = 0.36;11B.pdf
10;(p = \d+.\d+);p = 0.02;11B.pdf
11;(p = \d+.\d+);p = 0.42;11B.pdf
12;(p = \d+.\d+);p = 0.005;11B.pdf
13;(p = \d+.\d+);p = 0.02;11B.pdf
14;(p = \d+.\d+);p = 0.67;11B.pdf
15;(p = \d+.\d+);p = 0.001;11B.pdf
16;(p = \d+.\d+);p = 0.02;11B.pdf
17;(p = \d+.\d+);p = 0.02;11B.pdf
18;(p = \d+.\d+);p = 0.15;11B.pdf
19;(p = \d+.\d+);p = 0.45;11B.pdf
20;(p = \d+.\d+);p = 0.12;11B.pdf
21;(p = \d+.\d+);p = 0.19;11B.pdf
22;(p = \d+.\d+);p = 0.13;11B.pdf
23;(p = \d+.\d+);p = 0.51;11B.pdf
24;(p = \d+.\d+);p = 0.23;11B.pdf
25;(p = \d+.\d+);p = 0.001;11B.pdf
26;(p = \d+.\d+);p = 0.004;11B.pdf
27;(p = \d+.\d+);p = 0.23;11B.pdf
28;(p = \d+.\d+);p = 0.31;11B.pdf
29;(p = \d+.\d+);p = 0.001;11B.pdf
30;(p = \d+.\d+);p = 0.005;11B.pdf
31;(p = \d+.\d+);p = 0.22;11B.pdf
32;(p = \d+.\d+);p = 0.29;11B.pdf
33;(p = .\d+);p = .05;46B.pdf
34;(p = .\d+);p = .62;1B.pdf
35;(p = .\d+);p = .028;1B.pdf
36;(p = .\d+);p = .23;1B.pdf
37;(p = .\d+);p = .045;1B.pdf
38;(p = .\d+);p = .012;1B.pdf
39;(p = .\d+);p = .009;1B.pdf
40;(p = .\d+);p = .001;1B.pdf
41;(p = .\d+);p = .133;1B.pdf
42;(p = .\d+);p = .004;1B.pdf
